id,price
0,375.99559122944373
1,375.99559122944373
2,375.99559122944373
3,99.82
4,59.0
5,67.88
6,375.99559122944373
7,199.98
8,64.88
9,375.99559122944373
10,15.0
11,1730.95
12,375.99559122944373
13,34.88
14,15.98
15,21.47
16,375.99559122944373
17,214.99
18,5.28
19,375.99559122944373
20,3.88
21,37.57
22,91.44
23,375.99559122944373
24,375.99559122944373
25,375.99559122944373
26,151.0
27,375.99559122944373
28,18.97
29,375.99559122944373
30,20.28
31,375.99559122944373
32,375.99559122944373
33,0.0
34,35.78
35,169.95
36,375.99559122944373
37,375.99559122944373
38,112.99
39,375.99559122944373
40,149.88
41,375.99559122944373
42,375.99559122944373
43,19.84
44,375.99559122944373
45,615.0
46,12.88
47,233.05
48,199.99
49,35.0
50,7.91
51,16.4
52,375.99559122944373
53,375.99559122944373
54,479.98
55,375.99559122944373
56,375.99559122944373
57,375.99559122944373
58,150.0
59,79.0
60,1883.99
61,375.99559122944373
62,29.88
63,375.99559122944373
64,24.99
65,375.99559122944373
66,99.82
67,27.82
68,188.82
69,12.84
70,10.49
71,375.99559122944373
72,13.98
73,187.04
74,375.99559122944373
75,22.92
76,375.99559122944373
77,375.99559122944373
78,375.99559122944373
79,8.19
80,59.94
81,375.99559122944373
82,375.99559122944373
83,375.99559122944373
84,10.88
85,14.88
86,29.88
87,379.0
88,239.88
89,375.99559122944373
90,375.99559122944373
91,132.99
92,261.99
93,375.99559122944373
94,17.2
95,375.99559122944373
96,375.99559122944373
97,45.0
98,7.82
99,375.99559122944373
100,375.99559122944373
101,79.99
102,375.99559122944373
103,479.0
104,33.54
105,375.99559122944373
106,375.99559122944373
107,375.99559122944373
108,117.84
109,375.99559122944373
110,375.99559122944373
111,79.88
112,375.99559122944373
113,1948.95
114,375.99559122944373
115,375.99559122944373
116,0.0
117,5.88
118,375.99559122944373
119,375.99559122944373
120,375.99559122944373
121,375.99559122944373
122,375.99559122944373
123,4.98
124,39.99
125,375.99559122944373
126,375.99559122944373
127,375.99559122944373
128,54.54
129,49.99
130,17.54
131,375.99559122944373
132,729.0
133,10.88
134,375.99559122944373
135,12.88
136,1199.99
137,338.0
138,198.0
139,8.88
140,375.99559122944373
141,375.99559122944373
